Vehicle;Service;Distance;Time
4;13;213,050311189153;95,339622405619
4;14;2491,26315458996;363,919741683548
4;15;2371,82079292649;340,319891643778
4;16;739,660028514021;170,44469770212
4;17;2450,46163825641;360,982032507532
4;18;2690,66175640786;402,592378216307
4;19;2679,67402365633;402,485324256327
5;6;888,554776728524;133,27980696212
5;7;954,83214807923;128,747914661705
5;8;954,83214807923;128,747914661705
5;9;1661,62063473291;226,29136763146
5;10;882,972549190049;132,992720974427
5;11;1736,31877154589;246,669633481994
5;12;1569,92816067637;257,221859320618
5;13;1361,12711722453;207,188184192085
5;14;1475,69724523735;202,90488358778
5;15;1356,25488357388;179,30503354801
5;16;1431,15318926774;242,230061379196
5;17;1434,8957289038;199,967174411764
5;18;1675,09584705525;241,577520120539
5;19;1664,10811430373;241,470466160559
6;7;133,957353799813;23,9487925112529
6;8;133,957353799813;23,9487925112529
6;9;2280,69960469983;280,873853480014
6;10;62,0977549106317;8,19359882397534
6;11;2355,3977415128;301,252119330548
6;12;481,948060536954;99,004123396327
6;13;273,147017085109;48,9704482677942
6;14;2094,77621520426;257,487369436334
6;15;1975,33385354079;233,887519396564
6;16;343,173089128324;64,0123254549056
6;17;2053,97469887071;254,549660260318
6;18;2294,17481702216;296,160005969093
6;19;2283,18708427064;296,052952009113
7;8;0;0
7;9;2346,97697605053;296,341961179599
7;10;128,375126261338;23,6617065235599
7;11;2421,6751128635;316,720227030133
7;12;347,990782184982;75,0553363173187
7;13;139,189738733137;25,0216611887858
7;14;2161,05358655497;272,955477135919
7;15;2041,6112248915;249,355627096149
7;16;209,215810776351;40,0635383758973
7;17;2120,25207022142;270,017767959903
7;18;2360,45218837287;311,628113668677
7;19;2349,46445562134;311,521059708697
8;9;2346,97697605053;296,341961179599
8;10;128,375126261338;23,6617065235599
8;11;2421,6751128635;316,720227030133
8;12;347,990782184982;75,0553363173187
8;13;139,189738733137;25,0216611887858
8;14;2161,05358655497;272,955477135919
8;15;2041,6112248915;249,355627096149
8;16;209,215810776351;40,0635383758973
8;17;2120,25207022142;270,017767959903
8;18;2360,45218837287;311,628113668677
8;19;2349,46445562134;311,521059708697
9;10;2607,03494651463;362,805435162668
9;11;205,847468367955;44,8210177224928
9;12;2815,62713762287;394,875047090095
9;13;2606,82609417102;344,841371961562
9;14;357,766801666165;55,7592097199639
9;15;477,209145756322;79,3590584944552
9;16;2734,78290749439;451,779202629116
9;17;491,565429789573;70,3927109448493
9;18;775,384073646141;156,272077493646
9;19;278,058125610114;50,0201850439282
10;11;2293,30016001026;293,058529424704
10;12;476,365832998478;98,717037408634
10;13;267,564789546633;48,6833622801011
10;14;2032,67863370173;249,29377953049
10;15;1913,23627203826;225,69392949072
10;16;337,590861589848;63,7252394672126
10;17;1991,87711736818;246,356070354474
10;18;2232,07723551963;287,966416063248
10;19;2221,08950276811;287,859362103268
11;12;2668,88565190204;379,309660118196
11;13;2460,0846084502;329,275984989663
11;14;211,025315945338;40,1938227480644
11;15;330,467660035495;63,7936715225556
11;16;2588,04142177357;436,213815657217
11;17;344,823944068746;54,8273239729497
11;18;628,642587925314;140,706690521746
11;19;72,2106572421592;5,19916732143546
12;13;589,250795943593;92,4260573079387
12;14;2410,87999406275;320,942978476479
12;15;2291,43763239928;297,343128436709
12;16;659,276867986808;107,46793449505
12;17;2370,07847772919;318,005269300463
12;18;2610,27859588065;359,615615009237
12;19;2599,29086312912;359,508561049257
13;14;2348,96884819578;318,674551623167
13;15;2229,52648653231;295,074701583397
13;16;597,365722119843;125,199507641739
13;17;2308,16733186223;315,736842447151
13;18;2548,36745001368;357,347188155926
13;19;2537,37971726216;357,240134195946
14;15;119,442669667457;23,5998722160569
14;16;2377,01643140553;396,020016350718
14;17;133,798953700709;14,633524666451
14;18;975,584481404895;188,657683391259
14;19;792,094927808734;156,130498330465
15;16;2321,85863103872;402,048654724308
15;17;78,6411533339032;20,662163040041
15;18;526,404960146702;102,217094332432
15;19;515,417227395178;102,110040372453
16;17;2538,74532065343;374,054680069987
16;18;2778,94543880488;415,665025778761
16;19;2767,95770605335;415,557971818782
17;18;1002,953349375;216,52857835687
17;19;991,965616623473;216,42152439689
18;19;68,9928502217136;9,96748521596338
------------------------------------------------------
